lane,devSort,reliability
1,1,0.82143
1,2,0.79121
1,3,0.79121
1,6,0.8254
1,8,0.8254
1,10,0.82653
1,12,0.82653
1,13,0.82653
1,14,0.82759
1,16,0.73892
1,18,0.82759
1,22,0.82653
1,24,0.79592
1,25,0.79365
1,26,0.79365
1,27,0.7619
1,28,0.8254
1,30,0.8254
1,31,0.79365
1,32,0.33566
1,34,0.79121
1,35,0.72527
1,36,0.79121
1,37,0.72527
1,38,0.82286
1,39,0.82143
1,42,0.82286
1,43,0.78857
1,44,0.82286
1,45,0.78857
1,47,0.82143
1,48,0.82143
1,54,0.72115
1,58,0.82286
1,59,0.82286
1,63,0.82143
1,66,0.81429
1,68,0.68571
1,70,0.82143
2,1,0.41812
2,3,0.44007
2,4,0.47727
2,5,0.36
2,6,0.43902
2,7,0.51748
2,8,0.51515
2,10,0.475
2,12,0.50455
2,13,0.51818
2,14,0.39796
2,15,0.475
2,16,0.3619
2,17,0.43902
2,18,0.4625
2,19,0.48649
2,20,0.46429
2,21,0.47619
2,22,0.37333
2,23,0.43077
2,24,0.38095
2,25,0.37987
2,26,0.45349
2,27,0.475
2,28,0.53684
2,29,0.55
2,30,0.56923
2,31,0.45349
2,32,0.41958
2,33,0.41137
2,34,0.44444
2,35,0.35562
2,36,0.43478
2,37,0.44444
2,38,0.46512
2,39,0.47619
2,40,0.51818
2,41,0.53846
2,42,0.49224
2,43,0.49351
2,44,0.49351
2,45,0.40909
2,46,0.55814
2,47,0.49471
2,48,0.46753
2,49,0.63333
2,50,0.47674
2,51,0.45238
2,52,0.44156
2,53,0.55714
2,55,0.55714
2,56,0.63415
2,57,0.54286
2,58,0.61667
2,59,0.65385
2,60,0.69512
2,61,0.675
2,62,0.58333
2,63,0.47107
2,64,0.54146
2,65,0.61667
2,66,0.56923
2,68,0.55385
2,69,0.49224
2,70,0.55385
2,71,0.5035
2,72,0.48684
